Text,Label
"This document is for general informational purposes only and is not intended as a recommendation or an offer or solicitation for the purchase or sale of any security, currency, investment, service or to attract any funds or deposits.",1
"Save to the extent provided otherwise in the Terms and Conditions for Accounts and Services or other applicable terms and conditions, information in this document has been prepared without taking account of the objectives, financial situation or needs of any particular investor.",1
"Therefore, investment products mentioned in this document may not be suitable for all investors.",1
Any person considering an investment should seek independent advice on the suitability or otherwise of a particular investment.,1
"Before making any investment, each investor must obtain the investment offering materials, which include a description of the risks, fees and expenses and the performance history, if any, which may be considered in connection with making an investment decision.",1
"Each investor should carefully consider the risks associated with the investment and make a determination based upon the investors own particular circumstances, that the investment is consistent with the investors investment objectives.",1
"In any event, past performance is no guarantee of future results, and future results may not meet our expectations due to a variety of economic, market and other factors.",0
"Further, any projections of potential risk or return are illustrative and should not be taken as limitations of the maximum possible loss or gain.",1
"Investments are not deposits or other obligations of, guaranteed or insured by Citibank N.A., Citigroup Inc., or any of their affiliates or subsidiaries, or by any local government or insurance agency, and are subject to investment risk, including the possible loss of the principal amount invested.",1
Investors investing in funds denominated in non-local currency should be aware of the risk of exchange rate fluctuations that may cause a loss of principal.,0
"Neither Citigroup nor its affiliates can accept responsibility for the tax treatment of any investment product, whether or not the investment is purchased by a trust or company administered by an affiliate of Citigroup.",1
"Citigroup assumes that, before making any commitment to invest, the investor and (where applicable, its beneficial owners) have taken whatever tax, legal or other advice the investor/beneficial owners consider necessary and have arranged to account for any tax lawfully due on the income or gains arising from any investment product provided by Citigroup.",1
"If an investor changes country of residence, citizenship, nationality, or place of work, it is his/her responsibility to understand how his/her investment transactions are affected by such change and comply with all applicable laws and regulations as and when such becomes applicable.",1
"Although information in this document has been obtained from sources believed to be reliable, save to the extent provided otherwise in the Terms and Conditions for Accounts and Services or other applicable terms and conditions, Citigroup and its affiliates do not guarantee its accuracy or completeness and accept no liability for any direct or consequential losses arising from its use.",1
"Opinions expressed herein may differ from the opinions expressed by other businesses or affiliates of Citigroup, and are not intended to be a forecast of future events, a guarantee of future results or investment advice, and are subject to change based on market and other conditions.",1
The information contained herein is also not intended to be an exhaustive discussion of the strategies or concepts.,1
"At any time, Citigroup companies may compensate affiliates and their representatives for providing products and services to clients.",1
This is not an official statement of Citigroup Inc. and may not reflect all of your investments with or made through Citibank.,1
"For an accurate record of your accounts and transactions, please consult your official statement.",1
"If this document shows information coming from Citi Research, please refer to the attached link: , which contains the important disclosures regarding companies covered by Citi's Equity Research analysts, and please refer to the attached link: for details on the Citi Research ratings system.",1
This document may not be reproduced or circulated without Citigroup written authority.,1
The manner of circulation and distribution may be restricted by law or regulation in certain countries.,1
"Persons who come into possession of this document are required to inform themselves of, and to observe such restrictions.",1
"Any unauthorized use, duplication, or disclosure of this document is prohibited by law and may result in prosecution.",1
This document is distributed in Hong Kong by Citibank (Hong Kong) Limited (CHKL).,1
Prices and availability of financial instruments can be subject to change without notice.,1
Certain high-volatility investments can be subject to sudden and large falls in value that could equal the amount invested.,0
"Important Disclosure on High Yield Bonds Unrated or non investment grade Debt Securities typically offer a higher yield than investment grade Debt Securities, but also present greater risks with respect to liquidity, volatility, and non-payment of principal and interest.",0
"As a result of being classified as non investment grade Debt Securities, these Debt Securities present a greater degree of credit risk relative to many other fixed income Debt Securities.",0
Higher Credit Risk Unrated or non investment grade Debt Securities generally have predominantly speculative characteristics with respect to the issuers capacity to pay interest and repay principal.,1
There is greater risk of non-payment of interest and loss of principal.,1
"Many issuers of these Debt Securities have experienced substantial difficulties in servicing their debt obligations, which has led to default and restructurings.",0
The issuers of these Debt Securities generally have to pay a higher rate of interest than investment grade Debt Securities.,1
Higher Liquidity and Secondary Market Risk The markets in which unrated or non investment grade Debt Securities are traded are generally more limited than those in which investment grade Debt Securities are traded.,1
This lack of liquidity may make it more difficult to resell these Debt Securities and obtain market quotations.,0
Downgrade Risk Downgrades in the credit rating of unrated or non investment grade Debt Securities by rating agencies are generally accompanied by declines in the market value of these Debt Securities.,1
"In some circumstances, investors in the unrated or non investment grade Debt Securities market may anticipate such downgrades as a result of these credits being placed on credit watch by rating agencies, causing volatility and speculation of further credit deterioration.",0
"Higher Vulnerability to economic cycles - During economic downturns, unrated or non investment grade Debt Securities are typically more susceptible to price volatility and fall more in value than investment grade Debt Securities as i) investors may reevaluate holdings in lower-quality bonds in favor of investment-grade corporate Debt Securities; ii) investors become more risk averse; and iii) default risk rises.",0
This is often referred to a flight to quality.,0
"Event Risk This includes any of a variety of events that can adversely affect the issuer of unrated or non investment grade Debt Securities, and therefore the issuers ability to meet debt service obligations to repay principal and interest to Debt Securities holders.",1
"Event risk may pertain to the issuer specifically, the industry or business sector of the issuer, or generally upon the overall economy.",1
It could have a direct or indirect impact on the issuer and their outstanding debts.,1
"Important Disclosure on RMB Risk relating to RMB If you choose RMB as the base currency or the alternate currency, you should also note the following: RMB is currently not freely convertible through banks in Hong Kong.",1
"Due to exchange controls and/or restrictions imposed on the convertibility, utilization or transferability of RMB (if any) which in turn is affected by, amongst other things, the PRC government's control, there is no guarantee that disruption in the transferability, convertibility or liquidity of RMB will not occur.",1
There is thus a likelihood that you may not be able to convert RMB received into other freely convertible currencies.,0
"CNH exchange rates and CNY exchange rates are currently quoted in different markets with different exchange rates, whereby their exchange rate movements may not be in the same direction or magnitude.",1
"Therefore, the CNH exchange rate may be different from the CNY exchange rate.",1
Citi Global Wealth Investments FX Snapshot,1
" Citi Global Wealth Investments FX Snapshot Major Currencies Performance Source: Bloomberg L.P., as of Jan 6, 2023 (cut off time is NY Time 5:00pm); Citi (forecasts as of Nov 29, 2022) CCY Close Weekly Change 1 month high 1 month low 1 month change 3 month high 3 month low 3 month change 52 week high 52 week low Year-To- Date Change USD 103.88 0.3% 105.58 103.52 -1.6% 113.32 103.52 -7.5% 114.78 94.63 0.3% EUR/USD 1.0644 -0.6% 1.0705 1.0467 1.7% 1.0705 0.9702 8.7% 1.1495 0.9536 -0.6% USD/JPY 132.08 0.7% 137.78 130.80 -3.6% 150.15 130.80 -9.0% 151.95 113.47 0.7% GBP/USD 1.2093 0.1% 1.2426 1.1908 -0.3% 1.2426 1.0968 8.3% 1.3749 1.0350 0.1% USD/CAD 1.3444 -0.8% 1.3699 1.3444 -1.5% 1.3885 1.3275 -2.2% 1.3977 1.2403 -0.8% AUD/USD 0.6877 0.9% 0.6877 0.6670 2.8% 0.6877 0.6199 7.4% 0.7661 0.6170 0.9% NZD/USD 0.6347 0.0% 0.6464 0.6234 0.4% 0.6464 0.5562 12.1% 0.7034 0.5512 0.0% USD/CHF 0.9279 0.4% 0.9420 0.9232 -1.5% 1.0133 0.9232 -6.3% 1.0148 0.9092 0.4% USD/CNY 6.8280 -1.0% 6.9950 6.8280 -2.4% 7.3050 6.8280 -4.0% 7.3274 6.3065 -1.0% USD/CNH 6.8303 -1.3% 7.0096 6.8303 -2.2% 7.3430 6.8303 -3.6% 7.3749 6.3060 -1.3% GOLD 1865.69 2.3% 1865.69 1771.04 5.3% 1865.69 1628.02 8.9% 2070.44 1614.96 2.3% CCY Last Trading Day Change Technical levels Citi Forecasts Close Day High Day Low Daily Change Sup2 Sup1 Res1 Res2 0-3M 6-12M LT USD 103.88 105.63 103.87 -1.11% 102.35 103.42 107.20 107.99 112.50 97.66 100.83 EUR/USD 1.0644 1.0648 1.0484 1.16% 1.0364 1.0429 1.0718 1.0787 0.97 1.15 1.10 USD/JPY 132.08 134.77 132.00 -1.00% 129.41 130.56 135.60 138.18 137 133 139 GBP/USD 1.2093 1.2099 1.1842 1.55% 1.1645 1.1760 1.2154 1.2446 1.10 1.26 1.28 USD/CAD 1.3444 1.3665 1.3433 -0.93% 1.3226 1.3385 1.3704 1.3808 1.40 1.25 1.25 AUD/USD 0.6877 0.6887 0.6722 1.85% 0.6547 0.6629 0.6916 0.7009 0.64 0.74 0.76 NZD/USD 0.6347 0.6361 0.6191 1.81% 0.6156 0.6200 0.6576 0.6631 0.60 0.66 0.67 USD/CHF 0.9279 0.9409 0.9271 -0.89% 0.9195 0.9211 0.9651 0.9738 1.01 0.91 0.91 USD/CNY 6.8280 6.8812 6.8280 -1.00% -- -- -- -- 7.20 6.90 6.90 USD/CNH 6.8303 6.8929 6.8236 -0.84% 6.7859 6.8211 7.0020 7.0241 -- -- -- GOLD 1865.69 1869.96 1831.43 1.79% $1,729 $1,766 $1,878 $1,900 $1,800 $1,925 -- *INVESTMENT PRODUCTS: NOT A BANK DEPOSIT.",0
NOT GOVERNMENT INSURED.,1
NO BANK GUARANTEE.,1
"MAY LOSE VALUE January 9, 2023",1
" Source: Bloomberg L.P. (K = Thousand, M = Million, B = Billion) Important Economic Data (Jan 9, 2023 Jan 13, 2023) Citi Global Wealth Investments FX Snapshot Time Event Period Actual Survey Prior Monday 01/09/23 21:30 CA Building Permits MoM Nov -- -- -1.40% 01/09/23-01/16/23 CH CPI YoY Dec -- 1.90% 1.60% Tuesday 01/10/23-01/20/23 CH Industrial Production YoY Dec -- 0.80% 2.20% 01/10/23-01/20/23 CH Retail Sales YoY Dec -- -9.50% -5.90% Wednesday 01/11/23 08:30 AU Retail Sales MoM Nov -- -- -0.20% 01/11/23 08:30 AU CPI YoY Nov -- -- 6.90% Thursday 01/12/23 08:30 AU Trade Balance Nov -- -- A$12217m 01/12/23 21:30 US CPI YoY Dec -- 6.70% 7.10% 01/12/23 21:30 US CPI Ex Food and Energy YoY Dec -- 5.70% 6.00% 01/12/23 21:30 US Initial Jobless Claims Jan -- -- -- Friday 01/13/23 15:00 UK Monthly GDP (MoM) Nov -- -- 0.50% 01/13/23 15:00 UK Industrial Production YoY Nov -- -- -2.40% 01/13/23 15:00 UK Manufacturing Production YoY Nov -- -- -4.60% 01/13/23 23:00 US YOU. of Mich.",0
Sentiment Jan -- 60.3 59.7 01/13/23 CH Trade Balance Dec -- $83.50b $69.84b 01/13/23 CH Exports YoY Dec -- -12.50% -8.70% 01/13/23 CH Imports YoY Dec -- -10.40% -10.60% 01/13/23-01/27/23 CH GDP YoY 4Q -- 1.70% 3.90%,0
" FX Snapshot NZD Citi views & strategy Bias/ Forecasts/ Key levels Citi FX outlook We are bearish NZDUSD in 0-3m, and bullish 6- 12m.",0
NZDUSD remains strongly driven by global risk sentiment and China dynamics.,0
"These drivers should be a drag vs USD in Q123, but tailwinds in the medium term.",0
We are bullish on NZD for the coming 6-12m.,0
"Firstly, a more positive backdrop for risk assets alongside a softer USD is bullish the pair.",0
"Secondly, an eventual end to Chinas zero-Covid policy may be supportive for both AUD and NZD.",0
"Previously NZDUSD: 0 3mths: 0.54 NZDUSD: 6 12mths: 0.58 NZDUSD: Longer term: 0.67 Currently (as of Nov): NZDUSD: 0 3mths: 0.60 NZDUSD: 6 12mths: 0.66 NZDUSD: Longer term: 0.67 6-12mths: Moderately bullish NZD vs USD, bearish vs EUR CAD Citi views & strategy Bias/ Forecasts/ Key levels Citi FX outlook USDCAD, like the rest of G10, has been an equity trade in disguise all year, and this dynamic is unlikely to change any time soon which means further near term CAD weakness, assuming a negative equity view materializes.",0
CAD gains may be capped as BoC likely pivots dovish earlier than the Fed.,0
This may see CAD underperform its peers and low yielders.,0
"For now, the better CAD positive strategies remain vs vulnerable euro bloc currencies (EUR and GBP).",0
"Previously USDCAD: 0 3mth: 1.40 USDCAD: 6 12mth: 1.31 USDCAD: LT: 1.25 Currently (as of Nov): USDCAD: 0 3mth: 1.40 USDCAD: 6 12mth: 1.25 USDCAD: LT: 1.25 6-12mths: Bullish CAD vs USD, moderately bearish vs EUR Commodity Blocs AUD Citi views & strategy Bias/ Forecasts/ Key levels Citi FX outlook We are bearish AUDUSD into the start of 2023, predicated on a negative outlook for risk assets in Q123.",0
"Over the medium term, a possible extended tightening cycle by the RBA, a clearer outlook for the Chinese recovery that helps support commodity prices and cushions AUD from the impact from a US and European recession, should prove more supportive for AUD almost across the board.",0
"Previously AUDUSD: 0 3mths: 0.60 AUDUSD: 6 12mths: 0.65 AUDUSD: LT: 0.76 Currently (as of Nov): AUDUSD: 0 3mths: 0.64 AUDUSD: 6 12mths: 0.74 AUDUSD: LT: 0.76 6-12mths: Bullish AUD vs USD, moderately bearish vs EUR",0
" FX Snapshot GBP Citi views & strategy Bias/ Forecasts/ Key levels Citi FX outlook The Brexit remains a structural overhang for growth, via lower long run productivity, and external balances, via an impaired trade balance.",0
Inbound UK M&A flows are weaker than levels suggested by the already poor global trend.,0
"Fears about UKs fiscal sustainability recede somewhat (which likely means a higher floor in cable around the 1.10 1.12 area), but sterling remains a sell on rallies against USD, the Commodity Bloc and SGD.",0
"Previously GBPUSD: 0 3mth: 1.03 GBPUSD: 6 12mth: 1.14 GBPUSD: LT: 1.28 Currently (as of Nov): GBPUSD: 0 3mth: 1.10 GBPUSD: 6 12mth: 1.26 GBPUSD: LT: 1.28 6 12mths: Bullish GBP vs USD, bearish vs EUR European Currencies EUR Citi views & strategy Bias/ Forecasts/ Key levels Citi FX outlook Although economists say recession is inevitable, it may be milder and shorter than previously envisaged.",0
"Milder weather, lower gas prices, and fiscal support have lifted sentiment.",0
Debt and equity capital flows from the US can find its way to Europe in 2023.,0
China reopening is the big kicker and the Euro can be a big beneficiary.,0
"Downside risks for the Euro are periphery widening via ECB QT, a cold weather snap, and a souring of risk sentiment.",0
"Previously EURUSD: 0 3m: 0.93 EURUSD: 6 12m: 1.05 EURUSD: LT: 1.10 Currently (Nov): EURUSD: 0 3m: 0.97 EURUSD: 6 12m: 1.15 EURUSD: LT: 1.10 6 12mths: Bullish EUR vs USD, GBP, CHF, JPY, CAD, AUD, NZD, CNH, SGD",0
 FX Snapshot CHF Citi views & strategy Bias/ Forecasts/ Key levels Citi FX outlook CHF is likely to trade rangebound in the short term.,0
"On one hand, the Swiss economy is cooling, which would prompt the SNB to hike at a slower pace, following their 75 bp hike in September.",0
"However, this is offset by the outlook for a sell off in equities and a rally in duration.",0
"Overall, these forces balance each other out.",0
"Previously USDCHF: 0 3mts: 1.02 USDCHF: 6 12mts: 0.92 USDCHF: LT: 0.91 Currently (as of Nov): USDCHF: 0 3mts: 1.01 USDCHF: 6 12mts: 0.91 USDCHF: LT: 0.91 6-12mths: Bullish CHF vs USD, bearish vs EUR JPY Citi views & strategy Bias/ Forecasts/ Key levels Citi FX outlook UST yields may continue to trend lower LT towards 3% in 10Yrs on the back of a US recession.",0
This may strengthen JPY LT.,0
But BoJ to keep YCC for now.,0
Citi expects BoJ to stay the course with YCC until the end of 2025.,0
DXYs lack of follow through from the 114.57 high made in late September probably suggests a peak in DXY is in and JPY may stabilize at levels well above its lows for this year (around the 144-145 area vs 151.95 in October).,0
"Previously USDJPY: 0 3mths: 150.0 USDJPY: 6 12mths: 145.0 USDJPY: LT: 139.0 Currently (as of Nov): USDJPY: 0 3mths: 137.0 USDJPY: 6 12mths: 133.0 USDJPY: LT: 139.0 6-12mths: bullish JPY vs USD, bearish vs EUR Safe-haven Currencies",0
 FX Snapshot USD Citi views & strategy Bias/ Forecasts/ Key levels Citi FX outlook We forecast USD strength near term but expect material depreciation in the second half of 2023.,0
We see USD performance split next year.,0
"For the first several months, we expect a resumption of risk asset underperformance, likely via the earnings channel for equities.",0
This may keep the USD bid as there is still a strong inverse correlation between the USD and risk asset.,0
"Moving into the second half of 2023, the USD may enter into a depreciation regime.",0
China may be exiting ZC policy and Europe may be starting to recover.,0
RoW economic recovery tends to see USD depreciation.,0
"Previous month: DXY: 0 3m: 117.96 DXY: 6 12m: 106.31 DXY: LT: 100.83 Currently (as of Nov): DXY: 0 3m: 112.50 DXY: 6 12m: 97.66 DXY: LT: 100.83 6-12mths: Bearish DXY CNH Citi views & strategy Bias/ Forecasts/ Key levels Citi FX outlook Even though capital controls were tightened a lot in early 2017, one scenario worth considering is that a China reopening may lead to a lot of capital outflow with negative effects on the RMB.",0
"Additionally, China reopening may lead to trade balance contraction.",0
The PBoC has historically allowed the RMB to depreciate when the trade balance has fallen.,0
"Previously USDCNH: 0 3mths: 7.30 USDCNH: 6 12mths: 7.20 USDCNH: LT: 6.90 Currently (as of Nov): USDCNH: 0 3mths: 7.20 USDCNH: 6 12mths: 6.90 USDCNH: LT: 6.90 6-12mths: Bullish CNH vs USD, bearish vs EUR USD and THEM Currency",0
 Important Disclosure Citi analysts refers to investment professionals within Citi Research (CR) and Citi Global Markets (CGM) and voting members of the Global Investment Committee of Global Wealth Management.,1
Citibank N.A.,1
and its affiliates / subsidiaries provide no independent research or analysis in the substance or preparation of this document.,1
Investment products are not available to US persons and not all products and services are provided by all affiliates or are available at all locations.,1
"This document is for general informational purposes only and is not intended as a recommendation or an offer or solicitation for the purchase or sale of any security, currency, investment, service or to attract any funds or deposits.",1
"Save to the extent provided otherwise in the Terms and Conditions for Accounts and Services or other applicable terms and conditions, information in this document has been prepared without taking account of the objectives, financial situation or needs of any particular investor.",1
"Therefore, investment products mentioned in this document may not be suitable for all investors.",1
Any person considering an investment should seek independent advice on the suitability or otherwise of a particular investment.,1
"Before making any investment, each investor must obtain the investment offering materials, which include a description of the risks, fees and expenses and the performance history, if any, which may be considered in connection with making an investment decision.",1
"Each investor should carefully consider the risks associated with the investment and make a determination based upon the investors own particular circumstances, that the investment is consistent with the investors investment objectives.",1
"In any event, past performance is no guarantee of future results, and future results may not meet our expectations due to a variety of economic, market and other factors.",0
"Further, any projections of potential risk or return are illustrative and should not be taken as limitations of the maximum possible loss or gain.",1
"Investments are not deposits or other obligations of, guaranteed or insured by Citibank N.A., Citigroup Inc., or any of their affiliates or subsidiaries, or by any local government or insurance agency, and are subject to investment risk, including the possible loss of the principal amount invested.",1
Investors investing in funds denominated in non-local currency should be aware of the risk of exchange rate fluctuations that may cause a loss of principal.,0
"Neither Citigroup nor its affiliates can accept responsibility for the tax treatment of any investment product, whether or not the investment is purchased by a trust or company administered by an affiliate of Citigroup.",1
"Citigroup assumes that, before making any commitment to invest, the investor and (where applicable, its beneficial owners) have taken whatever tax, legal or other advice the investor/beneficial owners consider necessary and have arranged to account for any tax lawfully due on the income or gains arising from any investment product provided by Citigroup.",1
"If an investor changes country of residence, citizenship, nationality, or place of work, it is his/her responsibility to understand how his/her investment transactions are affected by such change and comply with all applicable laws and regulations as and when such becomes applicable.",1
"Although information in this document has been obtained from sources believed to be reliable, save to the extent provided otherwise in the Terms and Conditions for Accounts and Services or other applicable terms and conditions, Citigroup and its affiliates do not guarantee its accuracy or completeness and accept no liability for any direct or consequential losses arising from its use.",1
"Opinions expressed herein may differ from the opinions expressed by other businesses or affiliates of Citigroup, and are not intended to be a forecast of future events, a guarantee of future results or investment advice, and are subject to change based on market and other conditions.",1
The information contained herein is also not intended to be an exhaustive discussion of the strategies or concepts.,1
"At any time, Citigroup companies may compensate affiliates and their representatives for providing products and services to clients.",1
This is not an official statement of Citigroup Inc. and may not reflect all of your investments with or made through Citibank.,1
"For an accurate record of your accounts and transactions, please consult your official statement.",1
"If this document shows information coming from Citi Research, please refer to the attached link: , which contains the important disclosures regarding companies covered by Citi's Equity Research analysts, and please refer to the attached link: for details on the Citi Research ratings system.",1
This document may not be reproduced or circulated without Citigroup written authority.,1
The manner of circulation and distribution may be restricted by law or regulation in certain countries.,1
"Persons who come into possession of this document are required to inform themselves of, and to observe such restrictions.",1
"Any unauthorized use, duplication, or disclosure of this document is prohibited by law and may result in prosecution.",1
This document is distributed in Hong Kong by Citibank (Hong Kong) Limited (CHKL).,1
Prices and availability of financial instruments can be subject to change without notice.,1
Certain high-volatility investments can be subject to sudden and large falls in value that could equal the amount invested.,0
"Important Disclosure on High Yield Bonds Unrated or non investment grade Debt Securities typically offer a higher yield than investment grade Debt Securities, but also present greater risks with respect to liquidity, volatility, and non-payment of principal and interest.",0
"As a result of being classified as non investment grade Debt Securities, these Debt Securities present a greater degree of credit risk relative to many other fixed income Debt Securities.",0
Higher Credit Risk Unrated or non investment grade Debt Securities generally have predominantly speculative characteristics with respect to the issuers capacity to pay interest and repay principal.,1
There is greater risk of non-payment of interest and loss of principal.,1
"Many issuers of these Debt Securities have experienced substantial difficulties in servicing their debt obligations, which has led to default and restructurings.",0
The issuers of these Debt Securities generally have to pay a higher rate of interest than investment grade Debt Securities.,1
Higher Liquidity and Secondary Market Risk The markets in which unrated or non investment grade Debt Securities are traded are generally more limited than those in which investment grade Debt Securities are traded.,1
This lack of liquidity may make it more difficult to resell these Debt Securities and obtain market quotations.,0
Downgrade Risk Downgrades in the credit rating of unrated or non investment grade Debt Securities by rating agencies are generally accompanied by declines in the market value of these Debt Securities.,1
"In some circumstances, investors in the unrated or non investment grade Debt Securities market may anticipate such downgrades as a result of these credits being placed on credit watch by rating agencies, causing volatility and speculation of further credit deterioration.",0
"Higher Vulnerability to economic cycles - During economic downturns, unrated or non investment grade Debt Securities are typically more susceptible to price volatility and fall more in value than investment grade Debt Securities as i) investors may reevaluate holdings in lower-quality bonds in favor of investment-grade corporate Debt Securities; ii) investors become more risk averse; and iii) default risk rises.",0
This is often referred to a flight to quality.,0
"Event Risk This includes any of a variety of events that can adversely affect the issuer of unrated or non investment grade Debt Securities, and therefore the issuers ability to meet debt service obligations to repay principal and interest to Debt Securities holders.",1
"Event risk may pertain to the issuer specifically, the industry or business sector of the issuer, or generally upon the overall economy.",1
It could have a direct or indirect impact on the issuer and their outstanding debts.,1
"Important Disclosure on RMB Risk relating to RMB If you choose RMB as the base currency or the alternate currency, you should also note the following: RMB is currently not freely convertible through banks in Hong Kong.",1
"Due to exchange controls and/or restrictions imposed on the convertibility, utilization or transferability of RMB (if any) which in turn is affected by, amongst other things, the PRC government's control, there is no guarantee that disruption in the transferability, convertibility or liquidity of RMB will not occur.",1
There is thus a likelihood that you may not be able to convert RMB received into other freely convertible currencies.,0
"CNH exchange rates and CNY exchange rates are currently quoted in different markets with different exchange rates, whereby their exchange rate movements may not be in the same direction or magnitude.",1
"Therefore, the CNH exchange rate may be different from the CNY exchange rate.",1
Citi Global Wealth Investments FX Snapshot,1
 1 Goldman Sachs Asset Management Strategic Advisory Solutions MARKET PULSE Strategic Advisory Solutions Source: Goldman Sachs Global Investment Research (GIR) and Goldman Sachs Asset Management as of November 2022.,1
The economic and market forecasts presented herein are for informational purposes as of the date of this presentation.,1
There can be no assurance that the forecasts will be achieved.,1
"Goldman Sachs does not provide accounting, tax or legal advice.",1
Please see additional disclosures at the end of this presentation.,1
"Past performance does not guarantee future results, which may vary.",1
ASSET CLASS VIEWS 1.,1
